the0stage parse spending0.024995ms,and optType:kNone0
the1stage parse spending3.88691ms,and optType:kConv
the2stage parse spending5.47915ms,and optType:kDepthConv
the3stage parse spending6.23637ms,and optType:kConv
the4stage parse spending2.05512ms,and optType:kDepthConv
the5stage parse spending3.47428ms,and optType:kConv
the6stage parse spending2.86953ms,and optType:kDepthConv
the7stage parse spending5.50059ms,and optType:kConv
the8stage parse spending0.956715ms,and optType:kDepthConv
the9stage parse spending2.60682ms,and optType:kConv
the10stage parse spending1.3483ms,and optType:kDepthConv
the11stage parse spending6.62448ms,and optType:kConv
the12stage parse spending0.567958ms,and optType:kDepthConv
the13stage parse spending2.59083ms,and optType:kConv
the14stage parse spending1.28246ms,and optType:kDepthConv
the15stage parse spending4.79762ms,and optType:kConv
the16stage parse spending1.24102ms,and optType:kDepthConv
the17stage parse spending4.84986ms,and optType:kConv
the18stage parse spending1.24601ms,and optType:kDepthConv
the19stage parse spending4.82559ms,and optType:kConv
the20stage parse spending1.29617ms,and optType:kDepthConv
the21stage parse spending4.80819ms,and optType:kConv
the22stage parse spending1.24507ms,and optType:kDepthConv
the23stage parse spending4.87685ms,and optType:kConv
the24stage parse spending0.365453ms,and optType:kDepthConv
the25stage parse spending2.8026ms,and optType:kConv
the26stage parse spending0.746205ms,and optType:kDepthConv
the27stage parse spending5.56317ms,and optType:kConv
the28stage parse spending1.3908ms,and optType:kConv
the29stage parse spending3.55405ms,and optType:kConv
the30stage parse spending0.30764ms,and optType:kConv
the31stage parse spending0.617323ms,and optType:kConv
the32stage parse spending0.181352ms,and optType:kConv
the33stage parse spending0.522662ms,and optType:kConv
the34stage parse spending0.170617ms,and optType:kConv
the35stage parse spending0.299992ms,and optType:kConv
the36stage parse spending0.429322ms,and optType:kConv
the37stage parse spending0.226962ms,and optType:kPermute
the38stage parse spending0.185293ms,and optType:kToPlaneMajor
the39stage parse spending0.704512ms,and optType:kConv
the40stage parse spending0.281452ms,and optType:kPermute
the41stage parse spending0.387527ms,and optType:kToPlaneMajor
the42stage parse spending0.347135ms,and optType:kPriorBox
the43stage parse spending0.416182ms,and optType:kConv
the44stage parse spending0.0696567ms,and optType:kPermute
the45stage parse spending0.0748667ms,and optType:kToPlaneMajor
the46stage parse spending0.930478ms,and optType:kConv
the47stage parse spending0.0959533ms,and optType:kPermute
the48stage parse spending0.137463ms,and optType:kToPlaneMajor
the49stage parse spending0.202592ms,and optType:kPriorBox
the50stage parse spending0.166183ms,and optType:kConv
the51stage parse spending0.0299317ms,and optType:kPermute
the52stage parse spending0.0245233ms,and optType:kToPlaneMajor
the53stage parse spending0.301267ms,and optType:kConv
the54stage parse spending0.03604ms,and optType:kPermute
the55stage parse spending0.0555633ms,and optType:kToPlaneMajor
the56stage parse spending0.0605517ms,and optType:kPriorBox
the57stage parse spending0.127602ms,and optType:kConv
the58stage parse spending0.0182783ms,and optType:kPermute
the59stage parse spending0.01535ms,and optType:kToPlaneMajor
the60stage parse spending0.174025ms,and optType:kConv
the61stage parse spending0.019675ms,and optType:kPermute
the62stage parse spending0.0322883ms,and optType:kToPlaneMajor
the63stage parse spending0.0300417ms,and optType:kPriorBox
the64stage parse spending0.11964ms,and optType:kConv
the65stage parse spending0.015985ms,and optType:kPermute
the66stage parse spending0.0108717ms,and optType:kToPlaneMajor
the67stage parse spending0.176103ms,and optType:kConv
the68stage parse spending0.01607ms,and optType:kPermute
the69stage parse spending0.02065ms,and optType:kToPlaneMajor
the70stage parse spending0.02077ms,and optType:kPriorBox
the71stage parse spending0.0289917ms,and optType:kFC
the72stage parse spending0.0124117ms,and optType:kPermute
the73stage parse spending0.00702333ms,and optType:kToPlaneMajor
the74stage parse spending0.0414783ms,and optType:kFC
the75stage parse spending0.0124267ms,and optType:kPermute
the76stage parse spending0.00682167ms,and optType:kToPlaneMajor
the77stage parse spending0.0140617ms,and optType:kPriorBox
the78stage parse spending0.605002ms,and optType:kReshape
the79stage parse spending0.165962ms,and optType:kSoftMax
the80stage parse spending0.465678ms,and optType:kToPlaneMajor
the81stage parse spending0.867995ms,and optType:kDetectionOutput
the total spending 99.4014 ms

